type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-81,11,1,3,1,1,1,1,0,0,0,-95,6,6,1,10676995,0,110,0,0,11.063,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 2 -4 0 -4 1 -2 2 -2 2 -1 1 -3 1 0 2 -1 4 -1 6 -1 5 0 4 1 6 1 6 0 7 2 6 -1 6 0 7 2 8 0 9 0 9 0 9 1 10 2 10 -1 11 -1 10 0 0 0 11 -2 12 1 14 -3 13 -1 11 -3 14 -3 14 -1 13 -3 12 -3 14 -2 15 -5 16 -3 14 -5 14 -5 14 -4 15 -3 16 -4 16 -3 16 -4 15 -2 15 -5 17 -3 17 -4 15 -6 15 -2 18 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,2,1,1,1,1,0,0,0,-95,6,6,1,10719483,0,110,0,0,11.1056,384,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -2 -3 -1 -4 -1 -3 1 -3 0 -4 1 -3 2 -2 1 -3 2 -1 1 -2 3 -3 3 -3 4 -3 5 -4 5 -4 5 -5 5 -3 5 -5 5 -5 8 -5 7 -6 7 -5 6 -6 8 -7 9 -7 8 0 0 -6 8 -8 9 -8 8 -7 8 -7 9 -9 8 -8 8 -9 9 -10 9 -9 11 -10 10 -9 10 -7 11 -8 10 -11 10 -8 10 -10 12 -9 12 -10 10 -8 11 -12 10 -10 10 -10 11 -11 14 -11 12 -10 11 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-81,11,1,3,1,1,1,1,0,0,0,-95,5,6,1,10726840,0,110,0,0,11.136,384,[110 96 6 0 0 0 0 0 0 0 0 0 1 -6 0 -5 -1 -4 2 -5 -1 -3 1 -1 -3 -5 -1 -4 -4 -1 -5 -7 -7 -3 -3 -6 -6 -5 -3 -4 -5 -4 -8 -4 -5 -4 -5 -6 -6 -6 -7 -7 -6 -6 -8 -8 -7 -9 -7 -10 -7 -8 -6 -9 0 0 -7 -10 -6 -9 -7 -9 -9 -11 -6 -11 -8 -13 -6 -12 -9 -12 -7 -13 -6 -13 -8 -12 -6 -13 -6 -14 -7 -13 -7 -16 -8 -14 -7 -15 -6 -15 -8 -15 -9 -14 -7 -16 -8 -14 -6 -16 -9 -16 -9 -17 -9 -14 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-81,11,1,3,1,1,1,1,0,0,0,-95,5,6,1,10799643,0,110,0,0,11.1858,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 -2 -3 -1 -5 -2 -3 -2 -3 0 -4 1 -5 1 -2 0 -5 3 -2 0 -5 1 -6 3 -4 3 -2 2 -5 3 -4 4 -5 3 -4 5 -8 4 -7 6 -8 6 -8 5 -8 8 -8 4 -10 5 -7 4 0 0 -10 4 -12 8 -11 7 -12 6 -10 9 -12 5 -10 7 -12 4 -9 6 -13 8 -13 8 -11 10 -13 8 -12 7 -13 6 -12 9 -14 10 -14 8 -15 9 -10 7 -13 11 -14 7 -12 9 -13 8 -13 8 -12 7 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,2,1,1,1,1,0,0,0,-95,2,6,1,10802710,0,110,0,0,11.2168,384,[110 96 6 0 0 0 0 0 0 0 0 0 -5 3 -1 3 -1 2 -2 3 0 1 0 3 2 4 0 3 -1 4 2 2 0 2 3 4 1 5 2 4 4 2 3 4 5 4 5 6 2 5 2 6 2 8 5 8 4 8 4 9 6 9 3 12 0 0 5 9 4 11 5 13 6 10 5 10 5 12 5 11 4 12 5 11 5 9 6 12 6 10 5 11 3 13 8 14 6 14 4 14 6 12 8 12 7 12 5 14 3 13 7 15 7 11 8 15 7 14 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-79,11,1,0,1,1,1,1,0,0,0,-95,6,6,1,10897450,0,110,0,0,11.2842,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 -3 1 -4 2 -2 -1 -3 -1 -3 0 -2 -2 0 -1 -2 -1 -2 -2 -2 -4 -4 -5 -3 -5 -4 -5 -5 -5 -5 -4 -5 -5 -7 -4 -5 -6 -6 -7 -7 -5 -5 -7 -7 -7 -7 -7 -10 -8 -8 -8 -9 0 0 -9 -12 -9 -9 -7 -12 -7 -10 -9 -10 -7 -12 -8 -11 -7 -11 -7 -9 -6 -11 -10 -11 -11 -11 -9 -12 -10 -12 -9 -14 -9 -14 -10 -14 -9 -11 -9 -12 -10 -11 -11 -12 -10 -13 -10 -11 -9 -13 -10 -14 -11 -14 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-95,1,6,1,10900119,0,110,0,0,11.3188,384,[110 96 6 0 0 0 0 0 0 0 0 0 0 4 -3 2 2 1 2 2 2 4 3 0 3 -1 6 -1 4 3 8 -1 7 2 3 1 6 2 7 0 5 -2 10 0 5 0 10 -3 6 0 7 -4 10 -1 11 -1 13 -1 11 -1 14 3 15 -2 0 0 11 0 12 4 10 1 14 0 9 0 12 1 15 1 15 -4 12 -2 17 -3 18 -1 18 2 13 3 9 3 17 0 15 2 18 -1 16 1 20 1 18 2 16 -2 18 0 16 -1 17 -3 17 -1 17 0 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,1,1,1,1,1,0,0,0,-95,6,6,1,10903964,0,110,0,0,11.3544,384,[110 96 6 0 0 0 0 0 0 0 0 0 -1 -3 0 -2 1 -5 -3 -3 -2 -3 1 -2 -1 -3 -2 -5 -4 -3 -3 -4 -3 -5 -6 -3 -6 -7 -6 -5 -2 -8 -10 -9 -5 -7 -5 -8 -7 -7 -8 -8 -6 -8 -8 -5 -7 -10 -6 -9 -7 -13 -6 -11 0 0 -5 -11 -5 -13 -8 -13 -6 -12 -8 -11 -7 -13 -9 -15 -9 -12 -6 -13 -6 -16 -11 -14 -5 -13 -8 -13 -8 -16 -8 -14 -7 -19 -5 -18 -9 -17 -8 -15 -8 -15 -6 -16 -5 -17 -8 -14 -8 -20 -7 -18 -7 -16 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-95,6,6,1,10904785,0,110,0,0,11.3972,384,[110 96 6 0 0 0 0 0 0 0 0 0 -3 -5 -4 -4 -2 -2 -4 -1 -2 1 -3 -2 -3 1 -5 1 -4 2 -3 4 -5 2 -3 2 -6 1 -6 2 -6 3 -7 2 -8 3 -10 3 -8 5 -9 5 -8 4 -11 3 -12 3 -11 4 -12 3 -15 4 0 0 -12 3 -13 3 -11 3 -14 2 -14 2 -15 2 -14 2 -15 6 -15 0 -15 2 -17 4 -16 2 -14 4 -17 3 -16 3 -16 3 -17 3 -18 4 -18 2 -18 3 -17 3 -17 3 -17 3 -18 3 -17 5 -18 4 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,STA,40:91:51:FC:DF:8D,-80,11,1,3,1,1,1,1,0,0,0,-95,5,6,1,10905245,0,110,0,0,11.4363,384,[110 96 6 0 0 0 0 0 0 0 0 0 3 -2 2 -1 1 0 0 -2 0 -3 1 -3 0 -3 0 -3 1 -4 0 -4 -3 -5 1 -4 -1 -6 0 -6 -1 -7 2 -7 0 -7 1 -6 0 -9 2 -9 2 -10 3 -11 3 -13 4 -10 3 -12 3 -13 0 0 4 -13 6 -10 4 -13 3 -13 5 -12 5 -14 5 -13 4 -14 6 -16 4 -15 4 -16 5 -15 6 -13 5 -14 6 -18 6 -18 6 -16 6 -16 5 -15 5 -16 6 -17 5 -16 8 -17 7 -17 6 -17 5 -17 0 0 0 0 0 0 0 0 0 0 ],,,,,,,,,,,,,,,,,,,,,,,,,
